ALDH1A1	ALDH1A1
NCKAP1	ABI1
NCK2	ABI1
PAK2	ABI1
WASF1	ABI1
WASF2	ABI1
HSPA8	ABI1
CYFIP2	ABI1
NIN	ABI1
KCNQ3	CALM3
ENAH	ABI1
SLC12A9	CPSF4
SMAD3	SNW1
HDAC2	SNW1
CIR1	SNW1
LRP2BP	SNW1
JDP2	SNW1
TRIM24	PML
EDF1	CALM3
SNW1	RARA
KIF1C	KIF1C
PTPN21	KIF1C
YWHAE	KIF1C
YWHAG	KIF1C
PPP1R9B	TGOLN2
AP1M1	TGOLN2
AP1M2	TGOLN2
PRKD2	TGOLN2
KCNQ5	CALM3
AP3M1	TGOLN2
TGOLN2	PPP1R9A
PTBP1	QKI
MYO10	CALML3
GNA13	GPR17
PAFAH1B3	PAFAH1B3
ABCG1	ABCG1
ABCG4	ABCG1
ATM	CHEK1
ATR	CHEK1
CLSPN	CHEK1
CHEK1	TLK1
UBE2I	CBX4
PTGDS	ATXN1
MED9	CBX4
LIN7A	SLC6A12
NEDD8	UCHL3
SFRS7	DUSP11
SFRS9	DUSP11
QSOX1	UBQLN4
PZP	CPB2
DCTN1	MAPRE1
SMAD3	SMAD3
ATF3	SMAD3
CDC16	SMAD3
FOXH1	SMAD3
ZFYVE9	SMAD3
AXIN1	SMAD3
PTPRN	UBQLN4
ZEB2	SMAD3
STRAP	SMAD3
ERBB2IP	SMAD3
TGIF2	SMAD3
SMURF2	SMAD3
SRY	SMAD3
TOB1	SMAD3
RNF111	SMAD3
NEDD9	SMAD3
MED15	SMAD3
DACH1	SMAD3
MAGI2	SMAD3
EID2	SMAD3
ZEB2	SMAD5
TOB1	SMAD5
GDF6	SMAD5
RYR2	CACNA1C
NCOA2	SMARCE1
BAZ1B	SMARCE1
CACYBP	S100A12
AKAP9	PPP2R1B
PPP2R2A	PPP2R1B
DHX9	DHX9
SNRPB2	DHX9
MBD2	DHX9
SRI	CACNA1C
POLR2A	DHX9
AKAP8L	DHX9
CUL9	UBE2G2
AMFR	UBE2G2
UBE2J2	UBE2G2
NEDD8	CUL1
BTRC	CUL1
CHFR	PML
PRKACA	CACNA1C
FBXW7	CUL1
FBXO18	CUL1
RBX1	CUL1
CAND1	CUL1
FBXW4	CUL1
FBXW11	CUL1
CDCA3	CUL1
FBXW2	CUL1
CACNB3	CACNA1C
PRPF40A	CUL1
GPS1	CUL1
CDK9	CUL1
COPS6	CUL1
PPFIBP1	PPFIBP1
PPFIA2	PPFIBP1
PPFIA3	PPFIBP1
YWHAG	PPFIBP1
PPFIA1	PPFIBP1
S100A4	PPFIBP1
CABP1	CACNA1C
PPFIA2	PPFIBP2
PPFIA3	PPFIBP2
PPFIA1	PPFIBP2
PPFIA2	PPFIA2
PPFIA3	PPFIA2
GIT1	PPFIA2
ERC2	PPFIA2
PPFIA1	PPFIA2
PPFIA3	PPFIA3
PTPRN2	UBQLN4
ERC2	PPFIA3
PPFIA1	PPFIA3
ATF3	ATF3
IL17RA	IL17A
ANLN	SEPT7
CDC42EP5	SEPT7
S100A4	SEPT7
HUS1	RAD1
FGFR2	CACNA1D
DNAJC7	RAD1
RAD17	RAD1
RAD9B	RAD1
HUS1B	RAD1
YWHAG	PNN
SRRM2	PNN
RNPS1	PNN
SFRS4	PNN
PRPF4B	PNN
SFRS18	PNN
STX1A	CACNA1D
PPIG	PNN
ZCCHC17	PNN
SOCS6	PIK3R2
USP8	USP8
YWHAG	USP8
STAM2	USP8
DNAJB6	USP8
RASGRF1	USP8
RNF41	USP8
RYR1	CACNA1S
HRK	BAD
WASF1	BAD
YWHAE	BAD
BCL2L10	BAD
PAK7	BAD
MCL1	BAD
PPP1CA	BAD
SRI	CACNA1S
VGLL1	TEAD3
YAP1	TEAD3
UBA3	NEDD8
UBE2M	NEDD8
NUB1	NEDD8
CUL3	NEDD8
UBA2	NEDD8
RIMS2	CACNA1S
NAE1	UBA3
CPNE1	UBE2M
CPNE2	UBE2M
CPNE4	UBE2M
NAPA	VAMP8
STX7	VAMP8
STX3	VAMP8
NUP153	XPOT
XPO7	XPOT
RAD23A	UBQLN4
SFRS12	ILF2
MED26	CDK8
MED8	CDK8
POLR2A	CDK8
CDK8	CCNH
MED25	CDK8
RARA	PML
CDK1	CALD1
MED9	CDK8
HIST1H1C	NASP
TP63	DAXX
DAPK3	DAXX
DMAP1	DAXX
HIPK2	DAXX
HIPK1	DAXX
CALCOCO2	DAXX
UBE2I	DAXX
HSPB1	DAXX
SHC1	CALD1
PAX3	DAXX
MCRS1	DAXX
GOSR1	STX5
GOSR2	STX5
SEC22B	STX5
NSFL1C	STX5
SCFD1	STX5
VCPIP1	STX5
BET1	STX5
CALD1	CALM1
CLDN1	INADL
NLGN2	INADL
MPP5	INADL
ACCN3	INADL
NRXN2	INADL
CRB3	INADL
TJP3	INADL
PPP2CA	CCNG2
STX7	VTI1B
STX8	VTI1B
RAD23A	ATXN7
BFSP1	BFSP2
STX7	NAPA
GOSR2	NAPA
STX8	NAPA
STX12	NAPA
TRPC3	NAPA
STX8	NAPG
STX8	STX7
ITGB1	CANX
STX6	STX7
VPS18	STX7
SNAP29	STX7
VPS11	STX7
VPS16	STX7
BTAF1	MVD
NKX2-8	NKX2-8
BMPR1B	BMPR1B
BMPR1B	STAMBP
GDF6	BMPR1B
SLC2A1	CANX
SNX6	BMPR1B
CBX5	SMARCA4
ACTL6A	SMARCA4
FANCA	SMARCA4
PBRM1	SMARCA4
MPP6	SMARCA4
ARID1B	SMARCA4
BRWD1	SMARCA4
GRIA1	CANX
MPHOSPH6	SMARCA4
EEF1G	HLTF
CFLAR	IKBKB
IKBKAP	IKBKB
PPM1B	IKBKB
TANK	IKBKB
EIF2AK3	IKBKB
ITGA6	CANX
MAP3K13	IKBKB
TRAF3IP2	IKBKB
FANCA	IKBKB
TRPC4AP	IKBKB
LPA	CANX
SFRS12	SFRS2B
HIPK2	TP63
WT1	TP63
PPP1R13B	TP63
PIP5KL1	PIP5K1A
CD3D	CANX
IKZF4	CHD4
XRN1	CHD4
TRIM27	CHD4
THRA	OASL
ASPH	TRDN
MMP24	KISS1
KISS1R	KISS1
HHEX	PML
TRA@	CANX
DAPK3	DAPK3
ATF4	DAPK3
PAWR	DAPK3
AATF	DAPK3
BAIAP2	SHANK2
ARHGEF7	SHANK2
LPHN2	SHANK2
CD1D	CANX
DLGAP1	SHANK2
LPHN1	SHANK2
BNIP1	BNIP1
BNIP2	BNIPL
CLSTN1	MCM3AP
TOB1	SMAD9
SUFU	MAPKSP1
ROBLD3	MAPKSP1
TG	CANX
SIN3A	KLF11
TNKS1BP1	TNKS
TNKS2	TNKS
POT1	TNKS
MCL1	TNKS
FNBP1	TNKS
VPS33A	TNKS
TF	CANX
IRAK3	IRAK2
TIRAP	IRAK2
TICAM2	IRAK2
KCNF1	KCNH1
ALG10	KCNH1
KCNH5	KCNH1
BFSP1	BFSP1
PRKG1	PDE5A
RARA	UBE3A
KCND2	NCS1
PI4KB	NCS1
SIGLEC12	CMAS
PPP1R9A	PPP1R9B
PPP1CC	PPP1R3D
RCN1	ATXN1
DCTN1	DYNC1I2
SLC4A7	SLC4A4
PSMA7	HIF1A
COPS5	HIF1A
EGLN2	HIF1A
NCOA2	HIF1A
HIF1AN	HIF1A
VHLL	HIF1A
HIF3A	HIF1A
BCAP31	CANX
INCENP	BIRC5
AURKB	BIRC5
DIABLO	BIRC5
CDCA8	BIRC5
MBTPS1	MBTPS1
TNFSF15	TNFRSF6B
TNFSF14	TNFRSF6B
PDCD6IP	SH3GL3
SYNJ1	SH3GL3
SH3D19	SH3GL3
PLP1	CANX
SH3GL3	C7orf64
SFRS2IP	SFRS3
RBM7	SFRS3
EXOSC6	SFRS3
SRPK1	SFRS3
SFRS12	SFRS3
BAG4	TNFRSF25
TNFSF15	TNFRSF25
F8	CANX
CDKN2C	CDK6
PPM1B	CDK6
CNOT7	CDK6
CDC37	CDK6
MCM10	CDK6
NUP155	GLE1
FLNB	TSHR
GNA12	TSHR
GNA13	TSHR
PMP22	CANX
TSHB	TSHR
RAD21	SMARCA5
CHRAC1	SMARCA5
BAZ1B	SMARCA5
BAZ2A	SMARCA5
BAZ1A	SMARCA5
HDAC2	SAP30
CIR1	SAP30
BRMS1	SAP30
RBP1	SAP30
SENP2	PML
ABCC2	CANX
HIST1H2AL	SAP30
SIN3A	SAP30
HBP1	SAP30
HIST4H4	SAP30
-	SAP30
BRMS1L	SAP30
AKAP5	IQGAP1
CLIC5	IQGAP1
PRKCSH	CANX
IQGAP1	CALM1
DLG2	LIN7A
BAIAP2	LIN7A
KCNJ12	LIN7A
MPP5	LIN7A
MPP6	LIN7A
FLNB	FLNB
NPHP1	FLNB
FBLIM1	FLNB
PDIA3	CANX
YWHAG	DHX15
MEGF10	DHX16
TRIM24	TRIM24
CBX3	TRIM24
CBX1	TRIM24
TAF1B	TRIM24
TAF1C	TRIM24
RARA	TRIM24
CFTR	CANX
PGR	TRIM24
THRA	TRIM24
TAF7	TRIM24
TRIM33	TRIM24
TAF11	TRIM24
PHLDA1	PABPC4
SETDB1	PABPC4
LCT	CANX
XRN1	PABPC4
MED31	PABPC4
SFRS12	PABPC4
PABPC4	RIF1
DLG2	FZD1
WNT3A	FZD1
SFRP1	FZD6
DLG2	FZD7
ITGA3	RABIF
MBTPS1	CANX
RAB15	RABIF
SGTA	SGTA
ZNF408	PDLIM4
SCOC	ARL1
TIMELESS	PER2
TSHR	CANX
CRY2	PER2
CRY1	PER2
PER3	PER2
SCAND1	ZNF202
LDLR	DAB1
DAB2IP	DAB1
PCDH18	DAB1
CRADD	RIPK1
TRADD	RIPK1
HTR3A	CANX
CFLAR	RIPK1
TNFRSF10A	RIPK1
TNFRSF10B	RIPK1
MAP3K14	RIPK1
TRPC4AP	RIPK1
RIPK3	RIPK1
CD82	CANX
RNF216	RIPK1
TRIM38	RIPK1
CFLAR	RIPK2
NOD2	RIPK2
NOD1	RIPK2
EDEM1	CANX
CARD6	RIPK2
CARD16	RIPK2
CAMK2A	CDK5R1
NES	CDK5R1
SET	CDK5R1
CDK5RAP2	CDK5R1
TCF4	ASCL1
THRA	PML
EBI3	CANX
TTBK1	CDK5R1
CDK5RAP1	CDK5R1
CDK5RAP3	CDK5R1
LMTK2	CDK5R1
CDK9	CDK5R1
CDC20	CDC16
FANCA	FANCF
TWSG1	CHRD
TLL1	CHRD
BTRC	BTRC
GRIN1	CANX
SUFU	BTRC
DLGAP5	BTRC
FBXW11	BTRC
TSPAN15	BTRC
UBE2R2	BTRC
LSM7	MYH13
PORCN	WNT4
SERP1	CANX
SFRP1	WNT4
SFRP2	WNT4
SLAMF1	SLAMF1
SH2D1B	SLAMF1
MAP3K7IP2	TNFRSF11A
BCL10	TRADD
TNFRSF10A	TRADD
TNFRSF10B	TRADD
RCVRN	PQBP1
CEP110	TRADD
TNFRSF21	TRADD
HIPK2	TRADD
TRIM27	GFI1B
TRPC4AP	TRADD
HDAC2	IFRD1
DPM2	DPM1
DPM3	DPM1
FZR1	CDC14A
GRIN2B	CAPN1
SIRT2	CDC14B
AXIN1	LRP5
DKK1	LRP5
MESDC2	LRP5
DKK1	LRP6
DKK2	LRP6
IRS4	IRS4
SOCS6	IRS4
NISCH	IRS4
CAPN1	IL1A
RNMT	RNGTT
TNFRSF10A	BCL10
NLRC4	BCL10
CARD10	BCL10
CARD11	BCL10
CARD14	BCL10
CARD9	BCL10
MALT1	BCL10
NFKBIA	CAPN1
C9orf89	BCL10
FASTK	TIA1
SNRPA1	SNRPB2
SMN2	SNRPB2
SNRPC	SNRPC
STAT5B	NMI
LSM4	NMI
HDAC2	MTA1
CAPN1	ITGB3
CCNH	MTA1
RBM8A	DPH1
AP1S1	AP1S1
AP1G1	AP1S1
AP1G2	AP1S1
AP2A2	AP1S1
AP1M2	AP1S1
AP1G1	AP1S2
AP1G2	AP1S2
GGA3	AP1S2
CAPN1	SPTAN1
RABEP1	AP1G1
CLINT1	AP1G1
SYNRG	AP1G1
AP1M2	AP1G1
AFTPH	AP1G1
RABGEF1	AP1G1
RABEP1	AP1G2
SYNRG	AP1G2
XRN1	AP1G2
AFTPH	AP1G2
PAWR	PML
CAPN1	TP53
VAMP4	AP1M1
AP1M2	AP1M1
EHD2	AP1M1
KCNQ3	KCNQ4
ATF5	GABBR1
GABBR2	GABBR1
JAKMIP1	GABBR1
DDX20	SNRPF
LSM5	SNRPF
KNG1	CAPN1
SMN2	SNRPF
WDR77	SNRPF
DDX20	SNRPG
SMN2	SNRPG
TACC1	SNRPG
MBD2	MBD2
MBD3	MBD2
CAPN1	BCL2L1
HDAC2	MBD2
HINFP	MBD2
SIN3A	MBD2
GPN1	MBD2
GATAD2A	MBD2
MBD3L1	MBD2
GATAD2B	MBD2
SBF1	MTMR2
PSEN2	CAPN1
MBD3	MBD3
MTA2	MBD3
GATAD2A	MBD3
MBD3L1	MBD3
GATAD2B	MBD3
RECQL5	TOP3B
FBLN5	TOP3B
ZFPM1	TOP3B
CHD8	TOP3B
ZNF408	TOP3B
INPP4A	CAPN1
DLG2	DLG2
FZD4	DLG2
CRIPT	DLG2
SEMA4C	DLG2
KCNJ12	DLG2
GRIN1	DLG2
MADD	MADD
VPS13D	MADD
NPDC1	MADD
CAPN1	BID
TRIM63	USP13
TRIM55	USP13
TRIM8	SOCS1
TNFRSF10A	TNFSF10
TNFRSF10B	TNFSF10
TNFRSF10C	TNFSF10
TNFRSF10D	TNFSF10
TNFRSF10B	CFLAR
CAPN1	CDK5R1
DEDD	CFLAR
DEDD2	CFLAR
PLA2G4C	PLA2G4C
PLA2R1	PLA2G10
CAPN1	CASP14
CAPN1	GNG12
RABEP1	RABEP1
YWHAG	RABEP1
RAB33B	RABEP1
GGA2	RABEP1
HUNK	RABEP1
GGA3	RABEP1
RABGEF1	RABEP1
CAPN1	SPTBN1
GGA1	RABEP1
CDC20	CDC20
PTTG1	CDC20
RASSF1	CDC20
FBXO5	CDC20
SOSTDC1	CDC20
SPATC1	CDC20
FBXO5	FZR1
TOPBP1	PML
ROBO2	UBQLN4
ADAP1	RPS9
PTTG1	RPS10
RPL5	RPL5
RORA	LMO3
MAP3K14	RPL5
PPM1D	RPL5
TNIP1	RPL5
IPO7	RPL5
UPF2	RPL5
PDCD4	RPL5
MAD2L2	ADAM17
SH3D19	ADAM17
TRPM2	TRPC6
KNG1	CAPN2
TRPC3	TRPC6
STX16	VAMP3
STX3	VAMP3
IPO7	RPS7
TNS1	CAPN2
VAMP4	STX16
STX6	STX16
VPS45	STX16
VTI1A	STX16
SFRS4	SFRS2IP
SRPK1	SFRS2IP
CBFA2T3	CBFA2T2
SIN3A	CBFA2T2
DHH	PTCH2
RPS15A	RPS15A
TMEM189-UBE2V1	UBE2N
GAS2	CAPN2
MPP6	RPS20
MPHOSPH6	RPS20
GATA4	ZFPM2
SNCAIP	SEPT4
SEPT8	SEPT4
CAPN2	CDK5R1
YWHAG	GBF1
USO1	GBF1
CAPNS2	CAPN2
MOCS3	MOCS2
PAX6	SIX3
CLDN1	CLDN1
TJP2	CLDN1
MPDZ	CLDN1
TJP3	CLDN1
PARP2	BUB3
ARIH1	UBE2L3
NEDD4L	UBE2L3
YWHAQ	CAPN3
RNF19A	UBE2L3
CUL9	UBE2L3
RNF144A	UBE2L3
RNF216	UBE2L3
UBOX5	UBE2L3
IKBKAP	IKBKAP
MAP3K14	IKBKAP
PBX2	IKBKAP
ITCH	NUMB
EPS15	NUMB
LNX2	NUMB
LNX1	NUMB
RPS6KC1	SPHK1
SPHKAP	SPHK1
IRF3	IRF3
IRF7	IRF3
IRF5	IRF3
TICAM2	IRF3
SIN3A	PML
TTN	CAPN3
SLIT3	ROBO2
SLIT2	SLIT2
ROBO2	SLIT2
GNA12	S1PR4
GNA13	S1PR4
S1PR4	GNAI1
KIF3A	KIF3B
IFT20	KIF3B
LRP12	ZFYVE9
RAD9A	HUS1
DNAJC7	HUS1
RAD17	HUS1
RAD9B	HUS1
HUS1	HUS1B
CHEK2	RAD9A
CSNK2A1	CASQ2
ATM	RAD9A
DNAJC7	RAD9A
RAD17	RAD9A
ITSN2	RAD9A
CLSPN	RAD9A
TOPBP1	RAD9A
HUS1B	RAD9A
CDK5R2	CAMK2A
PPP1CB	PPP1R12B
CSNK2A2	CASQ2
PPP1R10	PPP1CA
DYNLT1	DYNC1I1
ORC3L	CCNE2
HDAC2	CDYL
PTTG1IP	PTTG1IP
PTTG1	PTTG1IP
TRDN	CASQ2
KCNG3	KCNF1
KCNF1	KCNV2
KCNF1	KCNG4
KCNB1	KCNG1
KCNQ1	KCNE2
ZFP36	NUP214
MED8	MED17
USP49	MED17
NCK2	AXIN1
NXF2	NUP214
GSK3B	AXIN1
SENP2	AXIN1
PPP2CA	AXIN1
PPP2R5B	AXIN1
PIAS1	AXIN1
DIXDC1	AXIN1
SMAD2	NUP214
PPARGC1A	NR1H4
BCL2L11	BCL2L11
VDAC1	BCL2L11
MCL1	BCL2L11
AKAP10	PDZK1
SLC22A12	PDZK1
PDZK1IP1	PDZK1
SLC22A4	PDZK1
PDZK1	SLC26A6
IPO5	NUP214
FIS1	DNM1L
RANBP9	RANBP9
DYRK1B	RANBP9
DISC1	RANBP9
HIPK2	RANBP9
MPHOSPH8	RANBP9
CDK9	CCNT2
NUP88	NUP214
RNF7	CYCS
RPH3AL	RAB27A
SYTL4	RAB27A
SYTL5	RAB27A
MLPH	RAB27A
RPL11	PML
XPO1	NUP214
SYTL2	RAB27A
SYTL1	RAB27A
MYRIP	RAB27A
SYTL3	RAB27A
RPH3AL	RAB27B
MLPH	RAB27B
UNC13D	RAB27B
RAB27B	SYTL4
NXF1	NUP214
CBFA2T3	CBFA2T3
HDAC3	CBFA2T3
TROAP	BYSL
DYNLT1	TROAP
ADAMTS4	ADAMTS4
NR0B2	NR1I3
TNPO1	NUP214
HSPA8	BAG2
MAPKAPK2	BAG2
HSPB8	BAG3
HSPA8	BAG3
XPOT	NUP214
ARTN	ARTN
GFRA3	ARTN
CRY1	TIMELESS
TIPIN	TIMELESS
KCNB1	KCNS3
TYROBP	SIRPB1
ARIH1	UBE2L6
RNF19A	UBE2L6
RNF40	UBE2L6
RNF216	UBE2L6
DDX19B	NUP214
EFTUD2	EFTUD2
SFRS12	EFTUD2
MAP4K5	TANK
IKBKE	TANK
DMAP1	RGS6
STMN2	RGS6
NUP107	NUP214
GNB5	RGS6
GNB5	RGS11
TNFRSF18	TNFSF18
KCNMB1	CLCA1
EIF2AK3	EIF2S1
EIF2B2	EIF2S1
PPP1R15A	EIF2S1
EIF2B1	EIF2S1
EIF2B4	EIF2S1
PRKRIR	EIF2S1
XPO5	NUP214
-	EIF2S1
EIF2B5	EIF2S2
EIF2B1	EIF2S2
EIF2B4	EIF2S2
GNAI1	CNR1
EIF3J	EIF3J
EIF3D	EIF3J
EIF3C	EIF3J
EIF3B	EIF3J
EIF3K	EIF3J
EIF3B	EIF3I
EXOSC6	EIF3I
EIF3G	EIF3H
DISC1	EIF3H
EIF3K	EIF3H
GNA15	CNR1
EIF3G	EIF3G
EIF3D	EIF3G
EIF3C	EIF3G
EIF3B	EIF3G
MPP6	EIF3G
EIF3K	EIF3G
MPHOSPH6	EIF3G
CDK19	EIF3F
PHLDA1	EIF3D
GNAI2	CNR1
EIF3L	EIF3D
EIF3K	EIF3C
EIF4B	EIF4B
PABPC1	EIF4B
GPHN	GPHN
GABARAP	GPHN
CRIP2	ATN1
GNAI3	CNR1
ENAH	GPHN
GSK3B	EIF2B5
EIF2B2	EIF2B5
GSK3A	EIF2B5
NUP153	NUP153
NUP62	NUP153
XPO7	NUP153
HCRTR1	CNR1
XPO5	NUP153
SENP2	NUP153
TPR	NUP153
DCTN2	ZW10
RINT1	ZW10
ZWINT	ZW10
FCGRT	CA6
ITGA9	ITGA9
REV1	POLH
TNFSF13B	TNFSF13B
TNFSF13	TNFSF13B
TNFRSF13B	TNFSF13B
TNFRSF13C	TNFSF13B
ITPR1	CA8
PCNT	AKAP9
KCNQ1	AKAP9
TUBGCP3	AKAP9
FNBP1	AKAP9
GRIN1	AKAP9
PPP1CA	AKAP9
AKAP9	PPP2R3A
PARD3	PNMA1
MARK4	PNMA1
PARD6B	PNMA1
RPN1	UBQLN4
ARL3	UNC119
UNC119	ARL2
UNC119	CD3E
SC4MOL	ATXN1
NUMBL	EPS15
AGFG2	EPS15
AGFG2	EPS15L1
GSK3B	AXIN2
ANKRD6	AXIN2
EBI3	GOSR1
ATXN1	SFRS14
GABARAPL2	GOSR1
GOSR1	NAPA
CYB5A	SCD
TAOK3	ERN1
CCNA1	CCNA1
MCM4	CCNA1
GPS2	CCNA1
KLHDC9	CCNA1
ATXN1	UBE2E3
CABLES1	CCNA1
ARID2	CCNA1
INCA1	CCNA1
CCNA1	E2F1
CCNA1	RBL1
CCNA1	RBL2
RABAC1	RAB5C
EEA1	RAB5C
RIN3	RAB5C
RIN2	RAB5C
ATXN1	IPO8
TERF2IP	RAD50
RAD50	RINT1
NEK2	NDC80
NEK2	CEP250
NEK2	PPP1CA
ATXN1	ARID5A
PRMT5	PRMT5
PRMT5	WDR77
RGS9	GNAT1
RGS9	GNB5
TPD52L1	TPD52
MAL2	TPD52
ZBTB16	PML
ATXN1	BTG3
DIS3	ZBTB17
TOPBP1	ZBTB17
SPOP	HCST
HCST	KLRK1
SORBS3	DLG5
TUBB1	TTK
MAP3K14	EDAR
ATXN1	RBPMS
EDARADD	EDAR
GRM6	GNAO1
GRM2	GNA15
GRM4	GNA15
TUBA8	GRM7
GRM7	PICK1
GRM5	HOMER1
ATXN1	PIM2
MYOT	MYOT
LRP12	MYOT
TRPV4	MAP7
SLC9A3R1	PLCB2
TRPM7	PLCB2
TRPC3	PLCB2
IKZF3	RBBP8
ATXN1	NUDT21
TGIF2	RBBP8
ATM	RBBP8
RBBP8	LMO4
IL20RA	IL24
ATXN1	RAPGEF4
NCR2	TYROBP
KIR2DS2	TYROBP
TREM1	TYROBP
TREM2	TYROBP
KLRC4	TYROBP
CD300E	TYROBP
KLRK1	TYROBP
ATXN1	SFRS16
TYROBP	CLEC5A
IPO11	UBE2E3
RNF8	UBE2E3
UBOX5	UBE2E3
SAE1	UBE2E3
ITGB8	VTN
KAT2B	ONECUT1
ATXN1	ZHX1
RPL7	RPL7
ATXN1	DCTN3
CTCF	POLR2A
CTCF	THRB
SOCS3	CSF3R
MYO5B	RAB11B
RAB11FIP2	RAB11B
RAB11FIP3	RAB11B
RAB11B	RAB11FIP5
ATXN1	ATXN2L
SNAP29	STX17
CPNE4	CPNE1
BCOR	CPNE1
CCDC22	CPNE1
PITPNM2	CPNE1
MYCBP	CPNE1
ATXN1	ACOT7
CPNE1	UBE2O
CPNE1	WTAP
BCOR	CPNE2
MYCBP	CPNE2
ANKRD2	PML
ATXN1	U2AF2
CPNE2	UBE2O
BCOR	CPNE4
CCDC22	CPNE4
PITPNM2	CPNE4
MYCBP	CPNE4
CPNE4	BICD1
CPNE4	KIAA1009
ATXN1	FAM46B
CPNE4	UBE2O
ITGB1BP1	KRIT1
WASF2	ACTR2
ATXN1	BATF2
IQGAP2	ACTR2
WASF3	ACTR3
WASF2	ACTR3
ARPC3	ACTR3
ACTR3	ARPC5
CD2AP	CD2AP
NPHS2	CD2AP
PPP1R14A	CSNK1G3
ATXN1	ZNF488
SEMA7A	PLXNC1
PTPN2	STAT5B
RARA	STAT5B
CENPJ	STAT5B
ELP2	STAT5B
ERBB2IP	PKP4
PDZD2	PKP4
MACF1	PLXND1
ARHGEF12	PLXNB2
ATXN1	VSTM2L
ARHGEF11	PLXNB2
RND1	PLXNB2
LSM1	GRHPR
HLA-DQA2	HLA-DQB1
MED1	MED1
PPARGC1A	MED1
RARA	MED1
MED8	MED1
THRA	MED1
THRB	MED1
ATXN1	MTERFD2
GATA4	MED1
GATA6	MED1
MED25	MED1
MED9	MED1
PDZD2	CST3
EXOSC10	SSRP1
SFRS12	SSRP1
ATXN1	BEND2
RPH3AL	RAB3D
RIMS2	RAB3D
RAB3IP	RAB3D
COPE	COPG2
PTGES3	COPG2
ATXN1	IL34
TAPBP	COPG2
COPG	COPG2
COPZ1	COPG2
COPZ2	COPG2
COPG2	ARL1
STAG2	STAG1
RAD21	STAG1
RAD21	STAG2
ATXN1	SIX5
ATM	CHEK2
ATM	CHEK2
ATR	CHEK2
MUS81	CHEK2
TSSK1B	CHEK2
CHEK2	ASF1A
CHEK2	MDC1
LYST	HGS
ATXN1	KIAA2026
NF2	HGS
UBA52	HGS
EPS15	HGS
VPS37A	HGS
VPS37C	HGS
EXOSC4	MPZL1
GOPC	BECN1
TRIM27	PML
ATXN1	USP54
NUB1	AIPL1
GNA12	GNA12
GNA13	GNA12
AKAP13	GNA12
S1PR5	GNA12
ARHGEF12	GNA12
ARHGEF11	GNA12
MLH3	MLH3
SCGB1D1	SCGB2A1
GUSB	CES1
PPP1R1B	PPP1CA
AKAP3	GNA13
S1PR2	GNA13
EDNRB	GNA13
ARHGEF12	GNA13
ARHGEF11	GNA13
RIC8A	GNA13
CBX5	INCENP
AURKB	INCENP
CDCA8	INCENP
BMPR2	CES1
POLR2A	POLR2F
POLR2F	POLR2C
POLR2F	POLR2E
POLR2F	POLR2G
GRAP2	GAB1
PTPN18	GAB1
-	GAB1
ATXN1	CLEC4F
PSMD2	PSMD5
IFITM1	IFITM1
CD81	IFITM1
BAT5	IFITM1
IRAK3	IRAK3
TICAM2	IRAK3
FAF1	FAF1
FAF2	FAF1
SH3GL2	SH3GL2
MAP4K3	SH3GL2
ADAM15	SH3GL2
PDCD6IP	SH3GL2
ITCH	SH3GL2
SYNJ1	SH3GL2
TNFRSF13B	TNFSF13
HOMER2	GRM1
HOMER1	GRM1
CPE	CCK
CBX3	CBX3
CBX5	CBX3
CBX1	CBX3
SP100	CBX3
MKI67	CBX3
MIS12	CBX3
DSN1	CBX3
CBX1	CBX5
CPE	GAST
HDAC4	CBX5
HDAC9	CBX5
MKI67	CBX5
HDAC5	CBX5
TAF4	CBX5
NSL1	CBX5
MIS12	CBX5
DSN1	CBX5
CBX5	ARL5A
GCG	CPE
RARA	NR2E3
MYOZ1	TCAP
ANKRD2	TCAP
MYOZ3	TCAP
BLNK	CBLB
CPE	INS
CBLB	PIK3R1
PPIF	VDAC1
DYNLT1	VDAC1
CKMT1A	VDAC1
IL1F7	IL18R1
THRB	ZNHIT3
TRIP4	TRIP4
RARA	TRIP4
PMCH	CPE
THRB	TRIP4
ASCC3	TRIP4
ASCC2	TRIP4
THRB	JMJD1C
RHOQ	TRIP10
THRB	TRIP10
TRIP10	PDE6G
TRIP10	ARHGAP17
PML	TRIM69
NTS	CPE
THRB	TRIP12
CLSTN1	TRIP12
ATPGD1	TRIP12
TRIP12	CELSR3
THRB	TRIP13
MAD2L1BP	TRIP13
COPS5	COPS2
THRA	COPS2
COPS3	COPS2
TRH	CPE
THRB	COPS2
NR0B1	COPS2
COPS4	COPS2
NIF3L1	COPS2
GPS1	COPS2
COPS6	COPS2
COPS7A	COPS2
COPS8	COPS2
C11orf30	CBX1
ATXN1	-
HIST1H3C	CBX1
CBX1	ARL5A
CD84	CD84
CD84	SH2D1B
MYBBP1A	PPARGC1A
CPM	EGF
THRB	PPARGC1A
GAB2	GRAP2
CCNDBP1	GRAP2
GAB3	GRAP2
KIFC3	ANXA13
CPM	HBA2
KIF2C	CENPH
HNRNPM	CEACAM5
VCAN	HAPLN1
SPINT1	HGFAC
SPINT2	HGFAC
HSBP1	HSPA1A
CDH9	CDH10
DYRK1B	DYRK1B
DCAF7	DYRK1B
YWHAG	ACIN1
MMP2	HAPLN1
UNC13B	DOC2A
DOC2A	DYNLT1
UNC13B	DOC2B
DOC2B	DYNLT1
EPB41L3	CNTNAP2
